spend time: 12, cur_state: 42, cur_clip:6
spend time: 12, cur_state: 42, cur_clip:14
spend time: 12, cur_state: 42, cur_clip:14
spend time: 12, cur_state: 42, cur_clip:14
spend time: 12, cur_state: 42, cur_clip:14
spend time: 12, cur_state: 42, cur_clip:14
spend time: 12, cur_state: 42, cur_clip:14
spend time: 12, cur_state: 42, cur_clip:14
spend time: 12, cur_state: 42, cur_clip:14
spend time: 12, cur_state: 42, cur_clip:21
spend time: 12, cur_state: 42, cur_clip:21
spend time: 12, cur_state: 42, cur_clip:21
spend time: 12, cur_state: 42, cur_clip:21
spend time: 12, cur_state: 42, cur_clip:21
spend time: 12, cur_state: 44, cur_clip:9
spend time: 12, cur_state: 44, cur_clip:9
spend time: 12, cur_state: 44, cur_clip:9
spend time: 12, cur_state: 44, cur_clip:9
spend time: 12, cur_state: 44, cur_clip:11
spend time: 12, cur_state: 44, cur_clip:11
spend time: 12, cur_state: 44, cur_clip:11
spend time: 12, cur_state: 44, cur_clip:11
spend time: 12, cur_state: 44, cur_clip:11
spend time: 12, cur_state: 44, cur_clip:11
spend time: 12, cur_state: 44, cur_clip:11
spend time: 12, cur_state: 44, cur_clip:15
spend time: 12, cur_state: 44, cur_clip:15
spend time: 12, cur_state: 44, cur_clip:15
spend time: 12, cur_state: 44, cur_clip:15
spend time: 12, cur_state: 44, cur_clip:22
spend time: 12, cur_state: 44, cur_clip:22
spend time: 12, cur_state: 44, cur_clip:22
spend time: 12, cur_state: 44, cur_clip:22
spend time: 12, cur_state: 44, cur_clip:22
